postcode,lat,lon
OL8 3AJ,53.521035,-2.120788
AB51 5JY,57.256698,-2.48299
SW8 1EF,51.480031,-0.122523
N4 2JW,51.562352,-0.100393
TD15 1SL,55.7851,-2.01096
AB52 6RR,57.334161,-2.550917
EH8 9JR,55.943392,-3.18499
DD2 5EZ,56.454751,-3.119413
RH14 9HZ,51.020751,-0.469796
LA5 0AU,54.19684,-2.843896
W12 7LQ,51.512132,-0.222032
BR1 2TY,51.392094,0.047083
LL30 1PB,53.3027,-3.827547
BN3 1NE,50.827147,-0.158422
EH16 5DD,55.934972,-3.165251
WD6 3LH,51.65028,-0.2825
SN5 4GY,51.584463,-1.880972
GU34 2DP,51.155137,-0.970532
KA9 2EL,55.486177,-4.601036
SK17 8PU,53.274821,-1.774079
PL16 0AE,50.641747,-4.2804
LD1 5LP,52.236489,-3.379747
GU7 2FG,51.19074,-0.615833
LL15 2LS,53.078468,-3.340644
CH8 7TL,53.272803,-3.216147
IV36 2TU,57.560327,-3.680294
AB33 8AW,57.237399,-2.698543
SK8 4AP,53.393259,-2.228334
G74 4QE,55.775792,-4.216237
ZE2 9LD,60.082345,-1.33444
B77 4ET,52.627229,-1.652514
PO20 7NB,50.769382,-0.778556
BA10 0BX,51.107615,-2.459362
PH33 6JY,56.810431,-5.116507
DE74 2HQ,52.832668,-1.278817
CO7 8LU,51.852747,1.068256
SS6 8UP,51.578075,0.62974
AB42 4YG,57.475625,-1.926351
KY14 6JQ,56.354258,-3.130173
LS15 4LN,53.825809,-1.39537
DD8 5PW,56.666402,-2.99081
DD8 3JZ,56.652623,-2.889309
CH6 6EA,53.261822,-3.163527
SA64 0EZ,52.004948,-5.004744
KA26 9BQ,55.238333,-4.85585
CW2 6TF,53.077838,-2.450151
M4 4AQ,53.490645,-2.238952
PE10 9JF,52.76246,-0.369878
NW2 1QU,51.568188,-0.212919
G41 5PR,55.84684,-4.294052
CB8 7HL,52.261962,0.370139
IV53 8UJ,57.351603,-5.554246
BD6 3PJ,53.76969,-1.807496
KT11 2QW,51.333164,-0.374521
GU12 6HP,51.237986,-0.703832
SA73 1NY,51.707235,-4.922195
PO21 3SP,50.781807,-0.704824
WR4 0NR,52.194732,-2.171385
SP10 2HN,51.195261,-1.486029
KT18 6LW,51.276802,-0.273639
SA18 2UR,51.804239,-3.971571
PR7 5RP,53.649385,-2.72156
BB18 6PF,53.914073,-2.139414
BB2 5EJ,53.722345,-2.53836
DN36 5PF,53.496653,-0.023133
SN16 9DL,51.599435,-2.052938
NP25 4AP,51.783567,-2.695619
RG8 0NR,51.5491,-1.065635
DN8 4RT,53.623539,-0.950528
DN6 9DQ,53.630438,-1.176331
DT11 8TH,50.885193,-2.2014
OL16 3BD,53.616162,-2.125686
PO5 2BG,50.786486,-1.086236
IP17 2NQ,52.26602,1.45315
GL3 1GB,51.883361,-2.197782
NR19 1GE,52.674781,0.943473
NE20 9EJ,55.045826,-1.744326
W3 9HJ,51.515685,-0.272189
SN15 2JT,51.390276,-2.050683
YO24 3LT,53.942691,-1.130557
YO42 1YQ,53.984524,-0.657144
CR2 0DU,51.347261,-0.074737
CB6 2RA,52.388366,0.121672
SK15 1HX,53.494079,-2.061505
PO13 8LY,50.807414,-1.192299
NR16 1SY,52.48276,1.160092
TW16 5JS,51.411509,-0.40023
HG1 4QY,54.000074,-1.509294
SP1 3UF,51.075892,-1.786071
AB42 2RP,57.505487,-1.810193
LL37 2JD,52.667653,-4.085494
AB12 5GH,57.071783,-2.252965
BD23 3TQ,53.92647,-2.133261
NR30 3HJ,52.600121,1.732082
TR11 3BP,50.152447,-5.073878
BS6 7QU,51.476418,-2.603606
KW17 2QG,58.918803,-2.819432
AB31 5NR,57.057932,-2.467891
KY16 8SR,56.300065,-2.656437
DD3 6NA,56.467415,-2.975071
IV36 3XU,57.634886,-3.549435
EX31 1PZ,51.089795,-4.060094
TN5 6EW,51.080076,0.351154
EH31 2DA,56.03581,-2.829185
IV2 7AT,57.483978,-4.156577
YO21 3FL,54.48334,-0.638555
DE6 3DW,53.019026,-1.614718
EH32 9GA,55.951632,-2.988407
SK23 6EZ,53.33601,-1.932067
BD24 0EQ,54.069396,-2.290953
IV2 7QA,57.574808,-3.9781
GU11 4AT,51.25459,-0.76084
HU15 2NJ,53.779781,-0.648777
HG1 3AQ,54.007723,-1.541444
AB12 3QB,57.095517,-2.098936
CV7 8SN,52.446717,-1.54115
RH1 4NS,51.240826,-0.107109
HA6 3DD,51.625964,-0.417432
HD4 7AZ,53.620662,-1.810094
CW7 2NG,53.196741,-2.554739
HP5 1NX,51.697982,-0.605593
HP18 9LG,51.77726,-1.001257
TN22 3PG,51.0348,0.059521
CV22 6PG,52.341034,-1.288017
SM2 5TB,51.355506,-0.182138
EH7 6AN,55.958243,-3.151038
G32 7UD,55.849839,-4.168369
CH46 0SF,53.395583,-3.109604
LN8 5PS,53.288267,-0.306291
CF11 9NU,51.487574,-3.203661
EX17 2DW,50.792477,-3.664314
TR11 5DE,50.149454,-5.103429
N6 4HX,51.580392,-0.153798
PO33 1NU,50.72269,-1.143098
NW9 4FY,51.595831,-0.247511
CV47 8NG,52.252661,-1.32393
SN10 3AJ,51.348681,-1.983926
DD10 9RZ,56.700828,-2.463073
DL16 7HR,54.676997,-1.592885
DH4 4TD,54.860494,-1.479841
AB51 0LN,57.284775,-2.295896
EH3 5NU,55.962751,-3.208633
NE61 6RA,55.180711,-1.656906
FK5 4WQ,56.038731,-3.82471
PR2 2HS,53.772993,-2.720022
KT19 9SQ,51.359232,-0.270197
EX10 0DU,50.698913,-3.302274
SE4 2AG,51.455827,-0.036044
IV30 8QW,57.634961,-3.264411
E15 4BZ,51.542097,0.006389
DD6 9AP,56.450853,-2.886941
BB4 9NT,53.712552,-2.251
CB1 7TP,52.185868,0.140252
NW2 3DE,51.554694,-0.216935
ME10 3FF,51.342012,0.760305
E8 3PE,51.541796,-0.058144
TN4 0ED,51.153249,0.256629
LS25 2PS,53.797904,-1.385402
L22 7RL,53.478823,-3.039372
HP1 3NL,51.765629,-0.494982
PL28 8EA,50.540094,-4.938635
PL26 8GH,50.392749,-4.793849
G69 6LE,55.852588,-4.119937
WV16 5AY,52.536686,-2.43563
EX7 0LB,50.570895,-3.474231
HX2 9RU,53.76013,-1.888386
SA43 2ER,52.131438,-4.54521
ME9 0AT,51.286411,0.764931
G53 7ZD,55.802969,-4.361107
NE40 4SP,54.955612,-1.770694
AL1 4EB,51.759246,-0.329953
GL9 1HZ,51.507234,-2.336129
BB9 8JR,53.841196,-2.198867
NG20 8UG,53.204073,-1.210811
CM9 6RZ,51.739323,0.603779
KT20 6NT,51.288929,-0.219303
SP5 4BW,51.028548,-1.904125
LA9 5HL,54.313275,-2.749715
AB12 5YP,57.10274,-2.179606
UB5 6LB,51.534357,-0.395956
PH3 1DB,56.297007,-3.703368
RG10 9RP,51.476908,-0.867045
BN2 9ZJ,50.828346,-0.119907
S75 3NF,53.537785,-1.521593
DY4 9QH,52.538181,-2.06499
SY23 3HF,52.43977,-3.993651
HG4 3SD,54.163671,-1.649672
NG14 5FB,52.989144,-1.030353
CO10 1LY,52.051085,0.727263
YO32 5UG,54.03374,-1.034121
SM4 5JG,51.400116,-0.188985
HR2 7TG,52.048351,-2.71969
HG3 2PR,54.029524,-1.68266
BD5 8QU,53.772793,-1.74139
DE5 3JQ,53.043512,-1.392378
DG5 4QD,54.873454,-3.766278
TF4 3UZ,52.653928,-2.486536
BB4 4NH,53.685468,-2.33295
LL13 9PA,53.039632,-2.965403
LE2 6TS,52.591776,-1.127453
GL50 3AW,51.897587,-2.082479
PO36 9PJ,50.646181,-1.190091
RG20 7LU,51.52604,-1.293932
DG7 1EJ,54.939467,-3.930222
EH23 4LX,55.833973,-3.086916
SW19 8TL,51.421734,-0.191238
YO10 3DY,53.955258,-1.066062
SE13 7EQ,51.467347,-0.007272
EH54 7AX,55.885724,-3.534647
CA20 1DH,54.440387,-3.479675
ML2 0PP,55.765173,-3.935108
KY11 8SX,56.050515,-3.414501
EX21 5NE,50.836849,-4.150678
BR1 4LL,51.42405,-0.011688
AB53 6TU,57.540038,-2.186983
HG2 7AJ,53.988342,-1.500714
BL1 5DE,53.577671,-2.476591
AB22 8ZA,57.183574,-2.140909
SN4 0HL,51.532156,-1.702168
CR0 8PG,51.3709,-0.043071
CO16 0FH,51.854027,1.176331
HU11 4EB,53.781622,-0.244381
YO23 3UF,53.917787,-1.140818
W6 8RH,51.490107,-0.216609
IG6 2RP,51.60665,0.078383
BS32 4BW,51.545769,-2.584334
SO43 7BF,50.87204,-1.574342
KT6 5HB,51.383063,-0.31221
EN8 8NS,51.701672,-0.036215
SA4 4XB,51.669925,-4.052634
PH1 3NJ,56.417127,-3.517236
S6 1WD,53.413242,-1.509031
WF2 8PL,53.669286,-1.506468
BR6 0HF,51.378263,0.102951
BL5 3TR,53.552362,-2.525361
PO31 8EG,50.760247,-1.321044
BR3 5FE,51.407992,-0.003958
OX2 9PX,51.73798,-1.31961
NN9 5HJ,52.320485,-0.629553
YO8 4DA,53.787633,-1.083
SP2 8AP,51.056825,-1.78907
EH32 9FA,55.9481,-2.99572
DA14 4NQ,51.428302,0.115752
CV2 4GF,52.413612,-1.489604
W14 9HS,51.488604,-0.211261
CH1 4LF,53.192807,-2.90249
HP2 6LS,51.774668,-0.460416
LE2 4JB,52.597765,-1.065266
DG13 0AX,55.151816,-3.00558
TW11 8TX,51.428944,-0.342505
SW19 1XF,51.421101,-0.182345
TA4 2EG,51.057745,-3.371735
AB43 9BG,57.688257,-2.024004
TA18 8ET,50.881695,-2.796458
G63 0YE,56.058976,-4.225522
RG9 1QB,51.526656,-0.913194
BD7 2AQ,53.793569,-1.779835
LA23 3AX,54.365978,-2.915084
PH3 1FU,56.300885,-3.705625
ML11 9QU,55.66629,-3.916216
YO43 4EQ,53.834953,-0.779887
SW17 8QL,51.437097,-0.148286
BS4 5EU,51.427065,-2.540574
CV21 3LL,52.377558,-1.248294
DG2 0LQ,55.08623,-3.634307
IP28 7FR,52.342165,0.504267
RH6 7PD,51.165961,-0.164083
SM5 3JJ,51.354232,-0.163849
DE15 9GD,52.799387,-1.605848
DH7 8DB,54.741571,-1.640016
LE9 4TG,52.544412,-1.285205
LA6 3JD,54.142569,-2.440796
NE65 7DF,55.33579,-2.103384
WD6 2AE,51.650441,-0.277266
SG16 6FL,52.002235,-0.300674
LS6 3HN,53.820336,-1.578504
SS9 4PQ,51.560472,0.650426
SO45 2HZ,50.825094,-1.382484
AB31 5RE,57.058339,-2.513005
CF72 9RT,51.534226,-3.455638
ST21 6EL,52.858632,-2.270204
BA6 8QH,51.112712,-2.641139
BN2 4RP,50.848596,-0.104134
DN21 5JZ,53.350874,-0.685688
SK6 6DL,53.396107,-2.072611
RG10 9XN,51.477921,-0.849179
CB4 1UF,52.222922,0.154172
KA26 0EU,55.236894,-4.843208
EX33 2NW,51.114545,-4.150952
BA1 7JY,51.409457,-2.307907
WF1 2PS,53.696652,-1.503619
FK1 4RU,55.996945,-3.8356
HD4 6DJ,53.634864,-1.783807
HX6 2QW,53.709745,-1.91232
TR3 6DU,50.262588,-5.110508
LA5 0RA,54.16843,-2.826928
SW19 2NB,51.414486,-0.184876
AL5 4EZ,51.823039,-0.354482
SG5 1PE,51.955748,-0.279078
DL17 9NH,54.699751,-1.514592
SO40 4XG,50.888387,-1.455362
PR2 6UA,53.782277,-2.670051
IV2 6EU,57.448437,-4.216901
TN24 0BS,51.133124,0.891994
S32 1AW,53.332336,-1.661951
EX34 7EZ,51.177064,-4.177841
CB4 3BX,52.215181,0.113848
B26 3XE,52.459715,-1.76832
DT6 4RN,50.693627,-2.695563
DG5 4LB,54.878398,-3.813276
DN36 5FS,53.49268,-0.033026
